STATION,ICAO,L,AT,,LO,NG,,ELEV,M
LINDBERG LANDING,CXLL,61,7,N,122,51,W,183,X
LINDEN,KLDJ,40,37,N,74,15,W,7,X
LINDTORP AIRPORT,EKHO,56,23,N,8,26,E,15,X
LINGUERE,GOOG,15,24,N,15,5,W,21,X
LINKOPING/MALMEN,ESCF,58,23,N,15,31,E,117,X
LINKOPING/SAAB,ESSL,58,23,N,15,40,E,52,X
LINS,SBLN,21,40,S,49,45,W,426,X
LINTON,K7L2,46,13,N,100,15,W,543,X
LINTON-ON-OUSE R,EGXU,54,3,N,1,15,W,16,X
LINZ (CIV/MIL),LOWL,48,13,N,14,11,E,313,X
LIRA,HULI,2,15,N,32,53,E,1091,X
LISALA,FZGA,2,19,N,21,34,E,463,X
LISBON/PORTELA,LPPT,38,46,N,9,7,W,123,X
LISTA/FARSUND (A,ENLI,58,6,N,6,37,E,10,X
LITCHFIELD,KLJF,45,6,N,94,30,W,348,X
LITCHFIELD MUNI,K3LF,39,10,N,89,40,W,210,X
LITTLE FALLS,KLXL,45,57,N,94,20,W,342,X
LITTLE RIVER,KLLR,39,16,N,123,45,W,175,X
LITTLE ROCK,KLIT,34,44,N,92,14,W,79,X
LITTLE ROCK AFB,KLRF,34,55,N,92,9,W,95,X
LIVERMORE,KLVK,37,42,N,121,49,W,117,X
LIVERPOOL AIRPOR,EGGP,53,19,N,2,51,W,26,X
LIVERPOOL BAY,CWLI,69,35,N,130,54,W,102,X
LIVINGSTON,KLVM,45,42,N,110,26,W,1418,X
LIVINGSTON,K8A3,36,25,N,85,19,W,419,X
LIVINGSTONE (MIL,FLLI,17,49,S,25,49,E,986,X
LIVINGSTONE NKUM,FLHN,17,49,S,25,49,E,986,X
LJUBLJANA/BRNIK,LJLJ,46,13,N,14,28,E,385,X
LJUNGBYHED,ESTL,56,4,N,13,12,E,43,X
LJUNGBYHED(SWE-A,ESDA,56,4,N,13,13,E,52,X
LLANBEDR,EGOD,52,49,N,4,7,W,9,X
LLANO,KAQO,30,47,N,98,40,W,336,X
LLOYDMINSTER ARP,CYLL,53,19,N,110,4,W,669,X
LOBITO,FNLB,12,22,S,13,31,E,3,X
LOCARNO,LSZL,46,10,N,8,53,E,600,X
LOCARNO/ASCONA,LSZD,46,9,N,8,47,E,600,X
LOCHABER,CMHB,45,38,N,75,12,W,105,X
LOCK HAVEN,KLHV,41,8,N,77,25,W,170,X
LODJA,FZVA,3,28,S,23,28,E,500,X
LODWAR,HKLO,3,7,N,35,37,E,515,X
LODZ/LUBLINEK,EPLL,51,43,N,19,24,E,184,X
LOEI,VTUL,17,26,N,101,43,E,254,X
LOGAN,KLG5,39,40,N,99,34,W,597,X
LOGAN,KLGU,41,47,N,111,51,W,1355,X
LOGANSPORT,KGGP,40,43,N,86,22,W,225,X
LOGRONO/AGONCILL,LELO,42,27,N,2,19,W,363,X
LOM SAK (THAI-AF,VTPL,16,49,N,101,15,E,152,X
LOMAHASHA,FDLM,25,59,S,31,59,E,570,X
LOME/TOKOIN (MIL,DXXX,6,10,N,1,15,E,25,X
LOMELA,FZVE,2,17,S,23,16,E,437,X
LOMIE,FKAL,3,8,N,13,37,E,624,X
LOMPOC,KLPC,34,40,N,120,28,W,27,X
LONDON,KLOZ,37,5,N,84,4,W,362,X
LONDON AIRPORT,CYXU,43,1,N,81,9,W,278,X
LONDON CITY AIRP,EGLC,51,30,N,0,3,E,5,X
LONDON CS,CWSN,43,2,N,81,9,W,278,X
LONDON WEA CENTE,EGRB,51,30,N,0,7,W,39,X
LONDON/GATWICK A,EGKK,51,8,N,0,10,W,62,X
LONDON/HEATHROW,EGLL,51,29,N,0,27,W,24,X
LONDRINA AIRPORT,SBLO,23,19,S,51,7,W,570,X
LONE ROCK,KLNR,43,13,N,90,11,W,217,X
LONG BEACH,KLGB,33,49,N,118,9,W,10,X
LONG POINT (MAPS,CWPS,42,34,N,80,2,W,175,X
LONG POND,CWWU,47,31,N,52,59,W,13,X
LONG PRAIRIE,K14Y,45,54,N,94,52,W,406,X
LONGBAWAN/JUVAI,WRLB,3,43,N,115,40,E,550,X
LONGMONT/VBRAND,KLMO,40,10,N,105,10,W,1541,X
LONGREACH AIRPOR,YBLR,23,25,S,144,16,E,193,X
LONGSTAFF BLUFF,CWLX,68,54,N,75,9,W,162,X
LONGUE PT DE MON,CWBT,50,16,N,64,14,W,11,X
LONGVIEW,KGGG,32,23,N,94,43,W,107,X
LONGVILLE,KXVG,46,59,N,94,12,W,407,X
LORAIN/ELYRIA,KLPR,41,21,N,82,11,W,241,X
LORDSBURG,KLSB,32,20,N,108,42,W,1307,X
LORETO,MMLT,26,1,N,111,20,W,15,X
LORIENT/LANN BIH,LFRH,47,46,N,3,27,W,44,X
LOS ALAMITOS AAF,KSLI,33,46,N,118,2,W,11,X
LOS ALAMOS,KLAM,35,52,N,106,16,W,2179,X
LOS ANGELES,KLAX,33,56,N,118,23,W,46,X
LOS ANGELES,KCQT,34,1,N,118,17,W,56,X
LOS CERRILLOS,SCTI,33,28,S,70,42,W,511,X
LOS MOCHIS AIRPO,MMLM,25,40,N,109,4,W,4,X
LOSINJ ISLAND,LDLO,44,34,N,14,24,E,46,X
LOSSIEMOUTH RAF,EGQS,57,43,N,3,19,W,13,X
LOUBOMO,FCPL,4,12,S,12,41,E,330,X
LOUIS TRICHARDT,FALO,23,3,S,29,52,E,922,X
LOUISA,KLKU,38,1,N,77,58,W,150,X
LOUISBURG/FRANKL,KLHZ,36,1,N,78,20,W,113,X
LOUISVILLE,KSDF,38,11,N,85,44,W,146,X
LOUISVILLE/BOWMN,KLOU,38,13,N,85,40,W,164,X
LOUISVILLE/WFO,KLMK,38,14,N,85,40,W,166,X
LOVELOCK,KLOL,40,4,N,118,34,W,1189,X
LOWE AHP/FT. RUC,KLOR,31,21,N,85,45,W,74,X
LOWELL/ELK CITY,KP69,46,9,N,115,36,W,480,X
LOWER CARP LAKE,CXLC,63,36,N,113,51,W,373,X
LUANDA/4 DE FEVE,FNLU,8,50,S,13,13,E,70,X
LUANG-PRABANG,VLLB,19,54,N,102,10,E,291,X
LUBBOCK,KLBB,33,40,N,101,49,W,993,X
LUBLIN,EPLB,51,14,N,22,43,E,206,X
LUBUMBASHI/LUANO,FZQA,11,35,S,27,32,E,1309,X
LUCENEC AIRPORT,LZLU,48,20,N,19,44,E,200,X
LUCKNOW/AMAUSI,VILK,26,45,N,80,52,E,128,X
LUCKY LAKE (AUTO,CWLE,50,57,N,107,9,W,665,X
LUCY ISL (LGT H),CWLC,54,18,N,130,37,W,27,X
LUDERITZ/DIAZ PO,FYLZ,26,40,S,15,15,E,130,X
LUDINGTON/MASON,KLDM,43,58,N,86,24,W,197,X
LUEBECK/BLANKENS,EDHL,53,48,N,10,43,E,16,X
LUFKIN,KLFK,31,14,N,94,45,W,88,X
LUGANO (PVT/AUT),LSZA,46,0,N,8,55,E,276,X
LUG-GANANE,HCMJ,3,34,N,42,27,E,150,X
LUHANSK,UKCW,48,25,N,39,23,E,194,X
LUKE AFB/GLENDAL,KLUF,33,31,N,112,22,W,332,X
LUMBERTON,KLBT,34,36,N,79,4,W,37,X
LUMBERTON,KN14,39,56,N,74,48,W,15,X
LUMBO,FQLU,15,1,S,40,40,E,11,X
LUNDAZI,FLLD,12,16,S,33,12,E,1143,X
LUNENBURG,CXLB,44,22,N,64,18,W,4,X
LUPIN (MAPS),CWIJ,65,46,N,111,14,W,500,X
LUPIN ARPT (SAWR,CYWO,65,46,N,111,15,W,494,X
LUQA/MALTA,LMML,35,51,N,14,28,E,91,X
LURAY,KLUA,38,40,N,78,30,W,275,X
LURE/MALBOUHANS,LFYL,47,42,N,6,32,E,317,X
LUSAKA (MIL/CIV),FLLS,15,19,S,28,26,E,1154,X
LUSAKA CITY AIRP,FLLC,15,25,S,28,19,E,1280,X
LUSAKA KUANDA,FLKK,15,19,S,28,27,E,1154,X
LUTON AIRPORT,EGGW,51,52,N,0,22,W,160,X
LUTSEL KE ARPT (,CYLK,62,25,N,110,40,W,179,X
LUTSEL KE CS,CXLU,62,25,N,110,40,W,179,X
LUVERNE,KLYV,43,37,N,96,13,W,436,X
LUVERNE,QMSM,43,40,N,96,13,W,443,X
LUWUK/BUBUNG,WAMW,0,54,S,122,46,E,2,X
LUXEMBOURG (AUT),ELLX,49,37,N,6,13,E,379,X
LUXEUIL/ST. SAUV,LFSX,47,46,N,6,20,E,273,X
LUXOR (CIV/MIL),HELX,25,40,N,32,42,E,88,X
LYCKSELE,ESNL,64,33,N,18,43,E,214,X
LYDD AIRPORT,EGMD,50,57,N,0,55,E,3,X
LYNCHBURG,KLYH,37,19,N,79,12,W,295,X
LYNDONVILLE,KCDA,44,34,N,72,1,W,363,X
LYNEHAM RAF,EGDL,51,30,N,1,58,W,156,X
LYNN LAKE AIRPOR,CYYL,56,52,N,101,4,W,357,X
LYON/BRON,LFLY,45,43,N,4,57,E,201,X
LYON/SATOLAS,LFLL,45,43,N,5,4,E,240,X
LYTTON (READAC),CWLY,50,13,N,121,35,W,229,X
M. CALAMITA,LIRJ,42,46,N,10,14,E,397,X
MA'AN,OJMN,30,10,N,35,46,E,1070,X
MABARUMA,SYMB,8,12,N,59,47,W,50,X
MACAE,SBME,22,21,S,41,46,W,2,X
MACAO/MACAU,VMMC,22,9,N,113,35,E,6,X
MACAPA INTL AIRP,SBMQ,0,3,N,51,4,W,15,X
MACARA/J.M.VELAS,SEMA,4,22,S,79,55,W,430,X
MACDILL AFB/TAMP,KMCF,27,51,N,82,31,W,4,X
MACEIO/CAMPO PAL,SBMO,9,31,S,35,46,W,115,X
MACENTA,GUMA,8,31,N,9,28,W,544,X
MACHALA/GEN SERR,SEMH,3,15,S,79,58,W,10,X
MACHRIHANISH RAF,EGQJ,55,25,N,5,42,W,13,X
MACKAY,YBMK,21,7,S,149,13,E,31,X
MACKENZIE AIRPOR,CYZY,55,17,N,123,7,W,690,X
MACKINAC ISLAND,KMCD,45,51,N,84,38,W,226,X
MACOMB MUNI,KMQB,40,31,N,90,39,W,215,X
MACOMER,LIEM,40,16,N,8,46,E,559,X
MACON,KMCN,32,41,N,83,39,W,109,X
MACON/CHARNAY (A,LFLM,46,17,N,4,47,E,217,X
MACON/FRANKLIN,K1A5,35,13,N,83,25,W,616,X
MACQUARIE ISLAND,YMMQ,54,28,S,158,55,E,6,X
MACTAN-CEBU,RPVM,10,19,N,123,59,E,10,X
MADANG AIRPORT,AYMD,5,13,S,145,48,E,12,X
MADERA,KMAE,36,59,N,120,7,W,77,X
MADINAH INTL ARP,OEMA,24,33,N,39,42,E,631,X
MADISON,KDXX,44,59,N,96,10,W,330,X
MADISON,QMAM,45,1,N,96,11,W,340,X
MADISON,KMDS,44,1,N,97,5,W,524,X
MADISON,KMSN,43,8,N,89,21,W,261,X
MADISONVILLE,K2I0,37,21,N,87,24,W,134,X
MADIUN/ISWAHYUD,WIAR,7,37,S,111,31,E,110,X
MADRAS/CHENNAI,VOMM,13,0,N,80,10,E,16,X
MADRI-COLMENAR,LECV,40,38,N,3,43,W,710,X
MADRID/BARAJAS,LEMD,40,29,N,3,34,W,582,X
MADRID/CUATRO VI,LEVS,40,22,N,3,46,W,687,X
MADRID/GETAFE (A,LEGT,40,17,N,3,43,W,612,X
MADURAI,VOMD,9,49,N,78,4,E,131,X
MAE HONG SON/MUA,VTCH,19,18,N,97,59,E,269,X
MAE SARIANG,VTCS,18,10,N,97,55,E,213,X
MAE SOT/TAK,VTPM,16,40,N,98,32,E,197,X
MAESANRI,RKSD,37,21,N,127,16,E,144,X
MAFIKENG,FAMK,25,52,S,25,38,E,1400,X
MAFRAQ (JOR-AFB),OJMF,32,22,N,36,15,E,687,X
MAGADAN/NAGAEVO,UHMM,59,55,N,150,43,E,118,X
MAGDALENA,SLMG,13,16,S,64,4,W,141,X
MAGDEBURG,EDBM,52,5,N,11,37,E,82,X
MAGENTA,NWWM,22,16,S,166,28,E,3,X
MAGNITOGORSK,USCM,53,24,N,58,45,E,435,X
MAGNOLIA OILP,KGBK,27,12,N,92,12,W,59,X
MAHALAPYE,FBMP,23,4,S,26,50,E,1009,X
MAHANORO,FMMH,19,49,S,48,47,E,5,X
MAHON/MENORCA IS,LEMH,39,52,N,4,13,E,82,X
MAIDUGURI,DNMA,11,50,N,13,4,E,354,X
MAIMANA/MIMANA,OAMN,35,55,N,64,45,E,815,X
MAIMANEH,KQMH,35,55,N,64,45,E,831,X
MAIN PASS 140B,KMIS,29,18,N,88,51,W,32,X
MAIN PASS 289C,KVKY,29,15,N,88,26,W,32,X
MAINE-SOROA,DRZM,13,13,N,11,58,E,337,X
MAINTIRANO,FMMO,18,3,S,44,1,E,23,X
MAJUNGA/MAHAJANG,FMNM,15,40,S,46,21,E,18,X
MAJURO ATOLL/NWS,PKMR,7,5,N,171,23,E,4,X
MAJURO WSO AIRPO,PKMJ,7,5,N,171,16,E,3,X
MAKABANA,FCPA,3,28,S,12,37,E,161,X
MAKALE/MEQELE,HAMK,13,28,N,39,32,E,2255,X
MAKHADO AFB,FALM,23,10,S,29,42,E,935,X
MAKINDU,HKMU,2,16,S,37,49,E,1000,X
MAKKAH/MECCA,OEMK,21,26,N,40,0,E,369,X
MAKKOVIK AIRPORT,CYFT,55,4,N,59,10,W,71,X
MAKOKOU/EPASSENG,FOOK,0,34,N,12,52,E,515,X
MAKOU AIRPORT,OITU,39,20,N,44,26,E,1364,X
MAKOUA,FCOM,0,1,S,15,34,E,379,X
MAKUNG AB,RCQC,23,34,N,119,37,E,31,X
MAKURDI (MIL),DNMK,7,40,N,8,37,E,97,X
MALABANG/MINDANA,RPWM,7,37,N,124,4,E,8,X
MALABO/FERNANDO,FGSL,3,45,N,8,43,E,56,X
MALACCA,WMKM,2,16,N,102,15,E,9,X
MALAD CITY,KMLD,42,10,N,112,17,W,1373,X
MALAGA (CIV/MIL),LEMG,36,40,N,4,30,W,7,X
MALAHAT (AUTOB),CWKH,48,34,N,123,32,W,366,X
MALAKAL,HSSM,9,33,N,31,38,E,388,X
MALANG/ABDUL (AF,WIAS,7,58,S,112,42,E,526,X
MALANGE,FNMA,9,33,S,16,22,E,1142,X
MALANGUANE/TALAU,WAMN,4,13,N,126,42,E,9,X
MALANOTTE MOUNTA,LIMY,44,15,N,7,47,E,1742,X
MALARGUE AIRPORT,SAMM,35,30,S,69,34,W,1425,X
MALATYA/ERHAC (A,LTAT,38,25,N,38,4,E,849,X
MALAY FALLS,CXMY,44,59,N,62,29,W,40,X
MALAYBALAY/MINDA,RPWY,8,9,N,125,4,E,627,X
MALAYER AIRPORT,OIHM,34,17,N,48,49,E,1726,X
MALDA,VEMH,25,1,N,88,7,E,31,X
MALDEN,KMAW,36,36,N,90,0,W,90,X
MALDONADO/PUNTA,SUPE,34,55,S,54,55,W,15,X
MALE INTL/HULULE,VRMM,4,12,N,73,31,E,2,X
MALINDI,HKML,3,13,S,40,6,E,23,X
MALMO/STURUP,ESMS,55,32,N,13,22,E,106,X
MALMSTROM AFB,KGFA,47,30,N,111,10,W,1075,X
MALTA,KM75,48,22,N,107,55,W,687,X
MALTA (AWRS),K77M,42,19,N,113,19,W,1375,X
MALTA ACC,LMMM,35,53,N,14,31,E,95,X
MALTAHOEHE,FYMH,24,46,S,16,59,E,1375,X
MAMBURAO/MINDORO,RPUM,13,13,N,120,35,E,4,X
MAMFE,FKKF,5,43,N,9,16,E,126,X
MAMMOTH/JUNE LAK,KMMH,37,37,N,118,49,W,2173,X
MAMMOTH/YELLOWST,KMMM,44,59,N,110,42,W,1902,X
MAN,DIMN,7,22,N,7,31,W,340,X
MANAGUA/AUGUSTO,MNMG,12,9,N,86,10,W,59,X
MANANJARY,FMSM,21,11,S,48,22,E,6,X
MANAS,UCFM,43,4,N,74,29,E,633,X
MANASSAS MUNI,KHEF,38,43,N,77,31,W,59,X
MANAUS/PONTA PEL,SBMN,3,8,S,59,58,W,84,X
MANCHESTER,KMHT,42,56,N,71,26,W,81,X
MANCHESTER INTL,EGCC,53,21,N,2,16,W,78,X
MANDA BAY,KQVF,2,9,S,40,54,E,15,X
MANDALAY,VBRM,21,58,N,96,5,E,76,X
MANDALAY,VYMD,21,42,N,95,59,E,91,X
MANDAN,KY19,46,46,N,100,54,W,593,X
MANDERA,HKMA,3,55,N,41,52,E,231,X
MANGALORE/BAJPE,VOML,12,58,N,74,53,E,103,X
MANGILSAN (KOR-A,RKTM,36,56,N,126,27,E,302,X
MANGO/SANSANNE,DXMG,10,22,N,0,28,E,146,X
MANGOCHI,FWMG,14,25,S,35,15,E,485,X
MANHATTAN,KMHK,39,8,N,96,41,W,317,X
MANHATTAN/DWNTWN,KJRB,40,42,N,74,1,W,7,X
MANICORE,SBMY,5,49,S,61,17,W,49,X
MANIITSOQ,BGMQ,65,25,N,52,56,W,15,X
MANISTEE,KMBL,44,16,N,86,15,W,189,X
MANISTIQUE,KISQ,45,58,N,86,10,W,209,X
MANISTIQUE,KP75,45,57,N,86,14,W,178,X
MANITOWAC MUNI,KMTW,44,7,N,87,40,W,198,X
MANITOWISH WATER,KD25,46,7,N,89,53,W,491,X
MANIWAKI,CWMJ,46,16,N,76,0,W,200,X
MANIZALES LNUBIA,SKMZ,5,2,N,75,28,W,2080,X
MANKATO,KMKT,44,13,N,93,55,W,311,X
MANLEY HOT SPRIN,PAML,65,0,N,150,39,W,81,X
MANNHEIM,EDFM,49,28,N,8,31,E,100,X
MANNING,KMNI,33,35,N,80,13,W,32,X
MANNING AGDM,CXMG,56,58,N,117,27,W,457,X
MANOKOTAK,PAMB,58,59,N,159,3,W,16,X
MANOKWARI/RENDAN,WASR,0,52,S,134,3,E,3,X
MANONO,FZRA,7,16,S,27,25,E,633,X
MANSA,FLMA,11,5,S,28,51,E,1259,X
MANSFIELD,KMFD,40,49,N,82,31,W,395,X
MANSTON RAF,EGUM,51,21,N,1,20,E,55,X
MANSTON SOUTHEAS,EGMH,51,21,N,1,21,E,55,X
MANTA/ELOY ALFAR,SEMT,0,57,S,80,40,W,14,X
MANTEO/DARE CO,KMQI,35,55,N,75,42,W,4,X
MANVILLE,K47N,40,31,N,74,36,W,26,X
MANZANILLO,MUMZ,20,17,N,77,7,W,60,X
MANZANILLO INTL,MMZO,19,8,N,104,34,W,8,X
MANZINI/MATSAPA,FDMS,26,31,S,31,18,E,641,X
MAPLE LAKE,KMGG,45,14,N,93,59,W,313,X
MAPLE PLAINS PEI,CXMP,46,18,N,63,35,W,46,X
MAPLECREEK (AUTO,CWMQ,49,54,N,109,28,W,767,X
MAPUTO/MAVALANE,FQMA,25,55,S,32,34,E,44,X
MAR DEL PLATA AR,SAZM,37,55,S,57,34,W,21,X
MARA SERENA,HKMS,1,24,S,35,0,E,1612,X
MARABA,SBMA,5,22,S,49,8,W,102,X
MARACAIBO/LA CHI,SVMC,10,34,N,71,43,W,65,X
MARADI,DRRM,13,28,N,7,4,E,373,X
MARANDUA,KQYV,5,31,N,68,40,W,87,X
MARATHON,KMTH,24,44,N,81,3,W,2,X
MARATHON,CYSP,48,45,N,86,21,W,315,X
MARCE,LFJR,47,34,N,0,18,W,60,X
MARCOS GELABERT,MPMG,8,59,N,79,34,W,13,X
MARCOS JUAREZ AR,SAOM,32,42,S,62,8,W,114,X
MARCULESTI,LUBM,47,52,N,28,13,E,95,X
MARDIN AIRPORT,LTCR,37,13,N,40,38,E,527,X
MARFA,KMRF,30,22,N,104,1,W,1481,X
MARGARET LAKE,CWZR,68,48,N,140,51,W,543,X
MARGARITA/DEL CA,SVMG,10,55,N,63,58,W,23,X
MARGATE,FAMG,30,51,S,30,21,E,151,X
MARHAM RAF,EGYM,52,38,N,0,34,E,23,X
MARIA DOLORES,SCGE,37,23,S,72,25,W,114,X
MARIANA/ANDERSEN,PGUA,13,34,N,144,55,E,187,X
MARIANNA,KMAI,30,50,N,85,11,W,32,X
MARIANO MORENO,SADJ,34,34,S,58,46,W,28,X
MARIB,OYMB,15,28,N,45,19,E,1000,X
MARIBO ARPT (AUT,EKMB,54,42,N,11,26,E,5,X
MARIBOR,LJMB,46,28,N,15,40,E,265,X
MARIDI,HSMD,4,55,N,29,28,E,749,X
MARIEHAMN/ALAND,EFMA,60,7,N,19,53,E,6,X
MARIENTAL ARPT,FYML,24,36,S,17,56,E,1113,X
MARIEPSKOP (SAAF,FAMR,24,33,S,30,52,E,1927,X
MARIETTA MCCOLUM,KRYY,34,1,N,84,36,W,317,X
MARILIA,SBML,22,11,S,49,55,W,647,X
MARINA DI GINOSA,LIBH,40,25,N,16,52,E,12,X
MARINDUQUE ISLAN,RPUW,13,22,N,121,49,E,5,X
MARINGA,SBMG,23,29,S,52,1,W,542,X
MARION,KMNN,40,37,N,83,4,W,301,X
MARION,KMAO,34,11,N,79,20,W,28,X
MARION / WYTHEVI,KMKJ,36,53,N,81,20,W,780,X
MARION ISLAND,FAME,46,52,S,37,52,E,22,X
MARION MUNI,KMZZ,40,29,N,85,41,W,262,X
MARION REGIONAL,KMWA,37,45,N,89,1,W,144,X
MARIQUITA,SKQU,5,13,N,74,52,W,467,X
MARISCAL ESTIGAR,SGME,22,1,S,60,36,W,181,X
MARISCAL SUCRE(M,SVBS,10,15,N,67,39,W,437,X
MARIUPOL INTL,UKCM,47,5,N,37,27,E,76,X
MARKOVO,UHMO,64,39,N,170,27,E,18,X
MARLBORO CNTY,KBBP,34,37,N,79,44,W,45,X
MARLIM P20 OIL,SBMM,22,21,S,40,5,W,10,X
MAROUA SALAK,FKKL,10,27,N,14,15,E,424,X
MAROUA-SALAK,FKKA,10,26,N,14,15,E,422,X
MARRAKECH/MENARA,GMMX,31,37,N,8,1,W,466,X
MARRUPA,FQMR,13,43,S,37,32,E,838,X
MARSA ALAM INTL,HEMA,25,33,N,34,35,E,77,X
MARSABIT,HKMB,2,17,N,37,53,E,1345,X
MARSEILLE/MARIGN,LFML,43,27,N,5,13,E,36,X
MARSEILLES,KMMO,41,22,N,88,40,W,225,X
MARSHALL,PADM,61,52,N,162,2,W,31,X
MARSHALL,KRMY,42,14,N,84,57,W,287,X
MARSHALL,KMHL,39,6,N,93,12,W,237,X
MARSHALL,KASL,32,31,N,94,18,W,109,X
MARSHALL/RYAN,KMML,44,27,N,95,49,W,359,X
MARSHALLTOWN,KMIW,42,7,N,92,55,W,296,X
MARSHFIELD,KGHG,42,6,N,70,40,W,4,X
MARSHFIELD,KMFI,44,38,N,90,11,W,379,X
MARTE (CIV/MIL),SBMT,23,31,S,46,37,W,722,X
MARTHAS VINEYARD,KMVY,41,24,N,70,37,W,16,X
MARTIN,K9V6,43,10,N,101,43,W,1004,X
MARTINA FRANCA(A,LIBX,40,42,N,17,19,E,447,X
MARTINSBURG,KMRB,39,24,N,77,59,W,164,X
MARTINSVILLE,KMTV,36,38,N,80,1,W,287,X
MARY,UTAM,37,37,N,61,54,E,222,X
MARY'S HARBOUR,CYMH,52,17,N,55,51,W,11,X
MARYSVILLE,KMYV,39,6,N,121,34,W,21,X
MARYSVILLE,KMRT,40,13,N,83,21,W,312,X
MARYVILLE,KEVU,40,21,N,94,55,W,349,X
MARZAR I SHARIF,EQBM,36,42,N,67,12,E,378,X
MASBATE,RPVJ,12,22,N,123,38,E,6,X
MASCARA,DAOM,35,23,N,0,8,W,492,X
MASCARA/GHRISS,DAOV,35,12,N,0,9,E,514,X
MASERU/MOSHOESHO,FXMM,29,28,S,27,33,E,1631,X
MASHHAD (AFB/CIV,OIMM,36,14,N,59,37,E,980,X
MASINASIN AGDM,CXMN,49,7,N,111,39,W,947,X
MASINDI,HUMI,1,40,N,31,43,E,1147,X
MASIRAH,KQIP,20,40,N,58,53,E,18,X
MASIRAH (OM-AFB),OOMA,20,40,N,58,53,E,19,X
MASJED-SOLEYMAN,OIAI,32,0,N,49,16,E,372,X
MASON,KTEW,42,34,N,84,25,W,280,X
MASON CITY,KMCW,43,9,N,93,20,W,369,X
MASSAWA,HAMS,15,37,N,39,27,E,10,X
MASSENA,KMSS,44,56,N,74,51,W,66,X
MASSET,CZMT,54,2,N,132,8,W,8,X
MASSLO/MESLO,HAML,6,22,N,39,49,E,2274,X
MASVINGO,FVMV,20,4,S,30,52,E,1095,X
MATADI/TSHIMPI,FZAM,5,47,S,13,25,E,340,X
MATAGAMI AIRPORT,CYNM,49,46,N,77,49,W,281,X
MATAM/OURO SOGUI,GOSM,15,36,N,13,20,W,17,X
MATAMOROS INTL,MMMA,25,46,N,97,31,W,8,X
MATEI/TAVEUNI IS,NFNM,16,40,S,179,52,E,21,X
MATHER FIELD,KMHR,38,32,N,121,17,W,29,X
MATSUMOTO AIRPOR,RJAF,36,10,N,137,55,E,660,X
MATSUSHIMA (JASD,RJST,38,23,N,141,13,E,5,X
MATSUYAMA AIRPOR,RJOM,33,49,N,132,41,E,7,X
MATTHEW TOWN/INA,MYIG,20,56,N,73,40,W,4,X
MATTOON/CHARLEST,KMTO,39,28,N,88,16,W,214,X
MATURIN,SVMT,9,45,N,63,10,W,66,X
MAUKE ISLAND,NCMK,20,9,S,157,23,W,9,X
MAUMERE/WAI OTI,WRKC,8,37,S,122,15,E,3,X
MAUN,FBMN,19,58,S,23,25,E,900,X
MAXTON,KMEB,34,47,N,79,22,W,67,X
MAXWELL AFB/MGM,KMXF,32,22,N,86,22,W,51,X
MAYAGUEZ/EUGENIO,TJMZ,18,16,N,67,9,W,9,X
MAYIWANE,FDMY,25,52,S,31,31,E,480,X
MAYKOP,URKM,44,41,N,40,2,E,558,X
MAYO AIRPORT,CYMA,63,37,N,135,52,W,504,X
MAYPORT NAS,KNRB,30,23,N,81,25,W,5,X
MAYUMBA,FOOY,3,25,S,10,39,E,34,X
MAZAR-I-SHARIF,OAMS,36,42,N,67,12,E,378,X
MAZATLAN/G. BUEL,MMMZ,23,10,N,106,16,W,10,X
MAZU,RCFG,26,10,N,119,55,E,91,X
MBALA (MIL/CIV),FLBA,8,50,S,31,19,E,1673,X
MBANDAKA,FZEA,0,3,N,18,16,E,317,X
MBARARA,HUMA,0,37,S,30,38,E,1413,X
MBEYA,HTMB,8,55,S,33,28,E,1707,X
MBUJI-MAYI,FZWA,6,10,S,23,37,E,677,X
MC GREGOR,KPWG,31,28,N,97,19,W,180,X
MC TAVISH (AUT),CWTA,45,30,N,73,35,W,63,X
MCALESTER,KMLC,34,53,N,95,47,W,232,X
MCALLEN,KMFE,26,11,N,98,15,W,38,X
MCCALL,KMYL,44,53,N,116,6,W,1533,X
MCCARTHY,PAMX,61,26,N,142,55,W,455,X
MCCLELLAN AFB,KMCC,38,40,N,121,24,W,23,X
MCCOMB,KMCB,31,11,N,90,28,W,124,X
MCCONNELL AFB,KIAB,37,37,N,97,16,W,418,X
MCCOOK,KMCK,40,12,N,100,35,W,782,X
MCDUFFIE/THOMSON,KHQU,33,32,N,82,31,W,152,X
MCENTIRE ANG BAS,KMMT,33,55,N,80,47,W,77,X
MCGRATH,PAMC,62,58,N,155,37,W,103,X
MCGREGOR RANGE,KM63,32,3,N,106,9,W,1283,X
MCGREGOR RANGE,KQMG,32,3,N,106,9,W,1283,X
MCGREGOR/IVERSON,KHZX,46,37,N,93,19,W,374,X
MCINNES ISLAND,CWMS,52,16,N,128,43,W,26,X
MCKINLEY PARK,PAIN,63,44,N,148,55,W,524,X
MCKINNEY,KTKI,33,11,N,96,35,W,179,X
MCMINNVILLE,KMMV,45,12,N,123,8,W,48,X
MCMINNVILLE,KRNC,35,42,N,85,51,W,315,X
MCMURDO ICE RNWY,NZIR,77,51,S,166,35,E,2,X
MCMURDO WILLIAMS,NZWD,77,52,S,167,4,E,22,X
MCNABS ISLAND,CXMI,44,36,N,63,32,W,15,X
MCPHERSON,KMPR,38,21,N,97,41,W,457,X
MEACHAM,KMEH,45,31,N,118,25,W,1136,X
